Column,expenditure_date,payee_name,payee_clean,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x
2320,2022-10-31,WBOC TV,WBOC TV,1729 N. Salisbury Blvd  Salisbury  Maryland 21801,Business/Group/Organization,4995.0000,Lombardo  Darren Citizens for,Media,Videos,,Check,,Electoral,,
2321,2022-11-09,Facebook,Facebook,350 Camino Gardens Blvd  Suite 202  Boca Raton  Florida 33432,Business/Group/Organization,863.6800,Lombardo  Darren Citizens for,Media,Online Advertising,,EFT,,Electoral,,
2322,2022-11-10,Facebook,Facebook,701 Laurel Street  Menlo Park  California 94025,Business/Group/Organization,766.4700,Harford County Deputy Sheriffs Political Action Committee,Media,Online Advertising,,EFT,,Electoral,,
2323,2022-02-09,Rice Consulting,Rice Consulting,17 West Courtland Street  Suite 210  Bel Air  Maryland 21014,Business/Group/Organization,1950.0000,Pruski  Andrew Friends of,Media,Media - Website Development,,Check,,Electoral,Website and hosting,
2324,2022-11-02,Facebook/Meta,Facebook/Meta,770 Broadway  New York  New York 10003,Business/Group/Organization,200.0000,Brown  Monise Keep Judge,Media,Online Advertising,,Debit Card,,Electoral,,
2325,2022-11-01,Facebook/Meta,Facebook/Meta,770 Broadway  New York  New York 10003,Business/Group/Organization,100.0000,Brown  Monise Keep Judge,Media,Online Advertising,,Debit Card,,Electoral,,
2326,2022-10-31,Facebook/Meta,Facebook/Meta,770 Broadway  New York  New York 10003,Business/Group/Organization,300.0000,Brown  Monise Keep Judge,Media,Online Advertising,,Debit Card,,Electoral,,
2327,2022-11-04,Facebook/Meta,Facebook/Meta,770 Broadway  New York  New York 10003,Business/Group/Organization,200.0000,Brown  Monise Keep Judge,Media,Online Advertising,,Debit Card,,Electoral,ads,
2328,2022-11-05,Facebook/Meta,Facebook/Meta,770 Broadway  New York  New York 10003,Business/Group/Organization,100.0000,Brown  Monise Keep Judge,Media,Online Advertising,,Debit Card,,Electoral,ads,
2329,2022-11-08,Facebook/Meta,Facebook/Meta,770 Broadway  New York  New York 10003,Business/Group/Organization,100.0000,Brown  Monise Keep Judge,Media,Online Advertising,,Debit Card,,Electoral,ads,
2330,2022-02-20,,,,Reimburse,1249.0800,Crisafulli  Matt Friends for,Media,Billboards / Outdoor Advertising,,Credit Card/Visa,Super Cheap Signs,Electoral,20 -4ft x8ft Road Signs - check #221,
2331,2022-02-05,Emmitsburg News-Journal,Emmitsburg News Journal,PO Box 543  Emmitsburg  Maryland 21727,Business/Group/Organization,400.0000,Education Not Indoctrination Slate,Media,Newspaper,,Credit Card/Visa,,Electoral,,
2332,2022-01-25,Mosaic Strategies Group,Mosaic Strategies Group,41 Watchchung Paza #351  Montclair  New Jersey 07042,Business/Group/Organization,1053.0000,Sydnor  Charles Citizens for,Media,Media - Website Development,,Check,,Electoral,,
2333,2022-01-31,Mosaic Strategies Group,Mosaic Strategies Group,41 Watchchung Paza #351  Montclair  New Jersey 07042,Business/Group/Organization,1000.0000,Sydnor  Charles Citizens for,Media,Media - Website Development,,Check,,Electoral,,
2334,2022-02-10,RAD- Michael Moore,RAD- Michael Moore,792 Harbortown Blvd.  Perth Amboy  New Jersey 08861,Business/Group/Organization,25.0000,Sydnor  Charles Citizens for,Media,Graphic Design,,Check,,Electoral,Graphic design walking piece.,
2335,2022-02-26,Mosaic Strategies Group,Mosaic Strategies Group,41 Watchchung Paza #351  Montclair  New Jersey 07042,Business/Group/Organization,1000.0000,Sydnor  Charles Citizens for,Media,Media - Website Development,,Check,,Electoral,,
2336,2022-04-01,Mosaic Strategies Group,Mosaic Strategies Group,41 Watchchung Paza #351  Montclair  New Jersey 07042,Business/Group/Organization,1000.0000,Sydnor  Charles Citizens for,Media,Media - Website Development,,Check,,Electoral,,
2337,2022-04-28,Mosaic Strategies Group,Mosaic Strategies Group,41 Watchchung Paza #351  Montclair  New Jersey 07042,Business/Group/Organization,1000.0000,Sydnor  Charles Citizens for,Media,Media - Website Development,,Check,,Electoral,,
2338,2022-05-25,Creative Print Group,Creative Print Group,1560 Caton Center Drive  Baltimore  Maryland 21227,Business/Group/Organization,554.3800,Sydnor  Charles Citizens for,Media,Billboards / Outdoor Advertising,,Check,,Electoral,Campaign Signs,
2339,2022-03-15,Wix.com  Inc,Wix.com  Inc.,500 Tery A Francois Blvd  FL 6  San Francisco  California 94158,Business/Group/Organization,292.5600,Washington County Democratic Central Committee,Media,Media - Website Development,,Debit Card,,Electoral,renew website hosting for 1 year,
2340,2022-01-31,Constant Contact,Constant Contact,1601 Trapelo Road  Waltham  Massachusetts 02451,Business/Group/Organization,47.7000,Yungmann  David Committee to Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2341,2022-03-01,Constant Contact,Constant Contact,1601 Trapelo Road  Waltham  Massachusetts 02451,Business/Group/Organization,47.7000,Yungmann  David Committee to Elect,Media,Online Advertising,,Debit Card,,Electoral,,
